Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
4280000,1.2971598,3.8409567,999.0,33.931126303970814,33.931126303970814,1.0
4290000,1.2971038,3.8948767,999.0,31.83882310986519,31.83882310986519,1.0
4300000,1.29713,3.9977777,999.0,42.17000284790993,42.17000284790993,1.0
4310000,1.2972031,3.7520537,999.0,30.83417584002018,30.83417584002018,1.0
4320000,1.2972008,3.8571832,999.0,29.487771287560463,29.487771287560463,1.0
4330000,1.2971866,3.8832502,999.0,38.43766877474263,38.43766877474263,1.0
4340000,1.2971861,3.8653178,999.0,36.906308978796005,36.906308978796005,1.0
4350000,1.2971847,3.786034,999.0,34.263273717369884,34.263273717369884,1.0
4360000,1.2971847,3.766297,999.0,30.62171471863985,30.62171471863985,1.0
4370000,1.297242,3.7761853,999.0,39.98075602017343,39.98075602017343,1.0
4380000,1.2972443,3.7105863,999.0,32.4421983063221,32.4421983063221,1.0
4390000,1.2972078,3.7236416,999.0,32.642503106966615,32.642503106966615,1.0
4400000,1.2972013,3.9373312,999.0,41.00018356740475,41.00018356740475,1.0
4410000,1.2969481,3.726315,999.0,38.70785005390644,38.70785005390644,1.0
4420000,1.2968767,3.7998734,999.0,39.48284377902746,39.48284377902746,1.0
4430000,1.2968198,3.861169,999.0,39.468194641172886,39.468194641172886,1.0
4440000,1.2967929,3.8000863,999.0,33.950414672493935,33.950414672493935,1.0
4450000,1.2966754,3.8049183,999.0,40.0494924839586,40.0494924839586,1.0
4460000,1.2965839,3.723994,999.0,33.11389266513288,33.11389266513288,1.0
4470000,1.296509,3.6940734,999.0,34.78363883495331,34.78363883495331,1.0
4480000,1.2964288,3.7174122,999.0,38.905550107359886,38.905550107359886,1.0
4490000,1.2963605,3.6687462,999.0,36.318962536752224,36.318962536752224,1.0
4500000,1.296241,3.7551162,999.0,37.400919660925865,37.400919660925865,1.0
4510000,1.2962285,3.7768798,999.0,43.438249841332436,43.438249841332436,1.0
4520000,1.2961978,3.8357463,999.0,37.56966906785965,37.56966906785965,1.0
4530000,1.296203,3.9434457,999.0,41.79771579708904,41.79771579708904,1.0
4540000,1.2962296,3.8355184,999.0,39.13510572910309,39.13510572910309,1.0
4550000,1.2962296,3.8531775,999.0,34.696337312459946,34.696337312459946,1.0
4560000,1.2962201,3.8810854,999.0,43.67903541587293,43.67903541587293,1.0
4570000,1.2962201,3.7275655,999.0,35.68450770713389,35.68450770713389,1.0
4580000,1.2961717,3.847798,999.0,38.20312068331987,38.20312068331987,1.0
4590000,1.2961705,3.8236117,999.0,34.904525220394135,34.904525220394135,1.0
4600000,1.2959455,3.7156458,999.0,34.861175924539566,34.861175924539566,1.0
4610000,1.2959098,3.690586,999.0,35.47705816477537,35.47705816477537,1.0
4620000,1.2957257,3.860965,999.0,40.47913461923599,40.47913461923599,1.0
4630000,1.2956703,3.7999444,999.0,36.66705568879843,36.66705568879843,1.0
4640000,1.295604,3.9284744,999.0,46.55456379055977,46.55456379055977,1.0
4650000,1.2955743,3.7616692,999.0,36.222714103758335,36.222714103758335,1.0
4660000,1.2956028,3.8877463,999.0,39.42281563580036,39.42281563580036,1.0
4670000,1.2956259,3.8575292,999.0,45.2761010825634,45.2761010825634,1.0
4680000,1.2956363,3.864595,999.0,33.98032067716122,33.98032067716122,1.0
4690000,1.2956464,3.7913382,999.0,40.53699478879571,40.53699478879571,1.0
4700000,1.2956383,3.9129944,999.0,41.50279526412487,41.50279526412487,1.0
4710000,1.2956239,3.9213836,999.0,39.11477938294411,39.11477938294411,1.0
4720000,1.2956161,3.9137952,999.0,44.38851234316826,44.38851234316826,1.0
4730000,1.295594,3.921773,999.0,41.336118679493666,41.336118679493666,1.0
4740000,1.295611,3.873227,999.0,39.72601390630007,39.72601390630007,1.0
4750000,1.2956942,3.8087106,999.0,34.66117563471198,34.66117563471198,1.0
4760000,1.2957014,3.950322,999.0,36.82278326153755,36.82278326153755,1.0
4770000,1.2958184,3.9933465,999.0,41.80713740363717,41.80713740363717,1.0
4780000,1.2958184,3.9399588,999.0,41.87164817750454,41.87164817750454,1.0
4790000,1.2958102,3.7493396,999.0,33.39415721967816,33.39415721967816,1.0
4800000,1.2958089,3.9059267,999.0,37.08289675414562,37.08289675414562,1.0
4810000,1.2957686,3.8194878,999.0,39.17490883497521,39.17490883497521,1.0
4820000,1.2957631,3.8021183,999.0,39.844066485762596,39.844066485762596,1.0
4830000,1.2957085,3.9209137,999.0,34.69414688274264,34.69414688274264,1.0
4840000,1.2956898,3.786468,999.0,43.70848182588816,43.70848182588816,1.0
4850000,1.2956849,3.9184947,999.0,37.63010015524924,37.63010015524924,1.0
4860000,1.295683,3.9751468,999.0,41.665183037519455,41.665183037519455,1.0
4870000,1.295674,3.7956378,999.0,34.94293263554573,34.94293263554573,1.0
4880000,1.2956669,3.927776,999.0,39.59392601251602,39.59392601251602,1.0
4890000,1.2956771,3.7533562,999.0,35.59882407542318,35.59882407542318,1.0
4900000,1.2956918,3.913056,999.0,40.193879306316376,40.193879306316376,1.0
4910000,1.2956922,3.853765,999.0,38.3398514688015,38.3398514688015,1.0
4920000,1.2956923,3.8122747,999.0,33.95547594875097,33.95547594875097,1.0
4930000,1.2956954,3.8659794,999.0,38.87426215480082,38.87426215480082,1.0
4940000,1.2957056,3.9733825,999.0,43.90099263191223,43.90099263191223,1.0
4950000,1.2957053,3.809986,999.0,42.13035148382187,42.13035148382187,1.0
4960000,1.2957038,3.8343668,999.0,37.67452113330364,37.67452113330364,1.0
4970000,1.2957034,3.941839,999.0,41.82504965737462,41.82504965737462,1.0
4980000,1.2957001,3.8349218,999.0,36.703747533261776,36.703747533261776,1.0
4990000,1.2957001,3.8512225,999.0,37.46553833782673,37.46553833782673,1.0
5000000,1.2957001,3.7983587,999.0,38.274317026138306,38.274317026138306,1.0
